OrderID,CustomerName,PhoneNumber,Location,Country,StoreCode,Product,Quantity,Price,Date,CreditCardNumber,ExpiryDate
HEXHEV,John Doe,+1 990-186-7268,New York,USA,ST026,Phone,5,979.97,18-07-2021,5676 8888 7887 7263,Jul-29
JCKRFW,John Doe,+1 659-832-6831,New York,USA,ST154,Headphones,1,218.94,01-02-2020,5676 8888 7887 8526,Jan-23
PZXZUL,John Doe,+1 564-127-5258,Houston,USA,ST013,Headphones,4,823.08,11-10-2020,5676 8888 7887 1823,Mar-29
QELSGN,John Doe,+1 571-789-2219,Los Angeles,USA,ST029,Tablet,10,572.4,17-08-2021,5676 8888 7887 1242,Nov-23
KCFBLY,Alice Smith,+1 631-561-3575,Chicago,UK,ST140,Laptop,6,226.93,21-03-2021,5676 8888 7887 9764,Feb-27
DFHWVO,Alice Smith,+1 216-604-4265,Chicago,USA,ST199,Laptop,7,280.32,05-10-2021,5676 8888 7887 2334,Aug-23
HQVCUP,Alice Smith,+1 931-426-6301,New York,Australia,ST042,Headphones,4,960.57,07-06-2022,5676 8888 7887 6182,Jan-23
BVRTFM,Alice Smith,+1 453-576-7373,Chicago,Canada,ST057,Headphones,10,262.33,05-05-2020,5676 8888 7887 5001,Apr-28
VGOCVD,John Doe,+1 762-593-1129,Houston,USA,ST018,Headphones,9,444.57,19-11-2022,5676 8888 7887 3084,Apr-23
RFXGBL,Alice Smith,+1 446-304-7582,Chicago,UK,ST040,Phone,2,204.03,27-05-2021,5676 8888 7887 6360,Aug-27
OUZPON,Alice Smith,+1 710-553-1473,New York,UK,ST001,Tablet,5,561.28,13-10-2022,5676 8888 7887 7677,Sep-25
COHLOL,Alice Smith,+1 650-277-1089,New York,Canada,ST190,Phone,5,354.64,17-12-2022,5676 8888 7887 9108,Jan-25
QFEQWC,Alice Smith,+1 518-371-1312,New York,Australia,ST143,Tablet,10,278.97,17-12-2021,5676 8888 7887 9735,Jun-26
DARJZI,John Doe,+1 243-794-9538,Los Angeles,Australia,ST076,Phone,9,507.96,10-08-2022,5676 8888 7887 9579,Sep-27
ZDTXIP,Robert Johnson,+1 262-473-3829,Chicago,Australia,ST048,Tablet,4,165.96,17-07-2021,5676 8888 7887 9528,Jul-25
WWVNGW,Alice Smith,+1 222-849-4865,Houston,Canada,ST146,Headphones,9,197.33,11-01-2020,5676 8888 7887 8289,Sep-23
MSKKXE,John Doe,+1 720-609-7161,Los Angeles,Australia,ST125,Laptop,8,492.92,06-02-2020,5676 8888 7887 6899,Mar-27
GAKJUC,Robert Johnson,+1 919-905-3000,New York,Australia,ST058,Headphones,4,222.6,27-09-2022,5676 8888 7887 8334,Dec-26
